text,label_Irrelevant,label_Salafi jihadi,label_Salafi taklidi,model_decision
"""ISWAP released a ~10-minute long preaching video, apparently the first episode of a series, entitled ""A Guidance and Exhortation for the Pious"" (Brotherhood in God).

The ISWAP member speaking, ""Abdurrahman al-Ansari"", talks about love for believers, even if they're deficient in religion, and hate for disbelievers.""",0.98076516,0.0013032319,0.040505104,
"""Three Duas to recite in every night in Ramadan

1. Dua for Forgiveness (Especially for Laylatul Qadr)

      

Allahumma innaka afuwwun tuhibbul afwa fafu anni

O Allah, You are Most Forgiving, and You love forgiveness, so forgive me.

2. Dua for Mercy and Guidance

           

Rabbana la tuzigh quloobana bada idh hadaytana wahab lana min ladunka rahmah

Our Lord, do not let our hearts deviate after You have guided us, and grant us mercy from Yourself.

3. Dua for Acceptance of Worship

      

Rabbana taqabbal minna innaka Antas-Sameeul-Aleem

Our Lord, accept from us. Indeed, You are the All-Hearing, All-Knowing.""",0.996367,0.0026480046,0.0063298726,
"""JNIM announces an upcoming daily series of preaching videos from clerics of the organization, including from JNIM senior leader Mahmud Barry, aka Abu Yahya.",0.996512,0.0038600233,0.0036846288,
"""ISWAP released a video of the attack against the Nigerian military camp in Kauwa, Borno State, several vehicles can be seen burning including armored vehicles, I've trimmed out the part showing dead Nigerian soldiers.",0.9977857,0.004554708,0.0037953896,
"""The people of Gaza perform the first Taraweeh prayer on the ruins of a mosque destroyed by Israel.",0.99772936,0.004191037,0.004050306,
"""Palestinians perform the first Taraweeh prayer tonight on the ruins of the destroyed Al-Farouq Mosque in Rafah, southern Gaza Strip.",0.9975249,0.00385843,0.0045598047,
"""The first Taraweeh prayer tonight in displacement tent camps in Gaza.",0.99752754,0.003616673,0.0044903858,
"""Ramadan Mubarak to all my brothers and sisters, may Allah accept our fasts and good deeds this year",0.99753296,0.0041891765,0.004122075,
"""Nationality breakdown + respective counts of 5,704 suspected #ISIS-linked foreign fighters (and affiliates) transferred from #Syria to #Iraq. Official table issued by the Iraqi Correctional Service, specifically from the Karkh Central Prison section.

1. Azerbaijan  55
2. Jordan  19
3. Spain  1
4. Australia  13
5. Afghanistan  25
6. Albania  8
7. Bosnia and Herzegovina  23
8. Algeria  25
9. Sweden  5
10. Iraq  460
11. Germany  27
12. Morocco  187
13. Yemen  9
14. Indonesia  46
15. Uzbekistan  36
16. Ukraine  13
17. Iran  23
18. Swaziland  1
19. Ireland  1
20. South America (unspecified)  7
21. Pakistan  17
22. Bahrain  6
23. United Kingdom  10
24. Belgium  8
25. Bangladesh  3
26. Poland  2
27. Turkestan (Northwestern China)  165
28. Turkey  181
29. Trinidad and Tobago  5
30. Netherlands  9
31. Tunisia  234
32. Maldives  1
33. South Africa  1
34. New Zealand  1
35. Georgia  3
36. Dagestan  3
37. Denmark  2
38. Russia  130
39. Saudi Arabia  68
40. Sudan  8
41. Syria  3,544
42. Sweden  3
43. Switzerland  3
44. Seychelles  1
45. Chechnya  7
46. Serbia  2
47. Somalia  2
48. China  5
49. Tajikistan  63
50. France  4
51. Palestine  5
52. Kyrgyzstan  42
53. Kazakhstan  4
54. Canada  5
55. Guantanamo (?)  1
56. Kurdistan  3
57. Kosovo  3
58. Lebanon  13
59. Libya  24
60. Maldives  2
61. Malaysia  5
62. Egypt  116
63. North Macedonia  1
64. Austria  2
65. India  1
66. United States  2

Total count: 5,704""",0.99693906,0.0052289153,0.0033705395,
"""Ex JNIM commander Sa'ad defected to ISGS for ideological reasons. In pt (4), Sa'ad confirms my report from April 2025 (but first conveyed to me in Jan 2025) that JNIM has a non aggression pact w Ivory Coast - I was the 1st to report this. Benin formed one w JNIM after major ops.",0.9755769,0.032511894,0.0017189,
"""Ten Wisdoms Behind Why al-Imm al-Bukhr Repeats Adth in His a",0.013930169,0.0020394973,0.9878473,
"""In a significant development, Saa'd, the former JNIM leader who defected recently to the Islamic State Sahel Province has released several audio statements explaining why he defected:

1) He accuses JNIM leaders of not applying Shariah (Islamic law) in its totality, despite him urging them to in several meetings with other senior JNIM and AQIM leaders, who found excuses in ""politics and lack of ability"" despite them ""not hesitating to collect zakat from Muslims"".

2) He says the JNIM accusation of IS-Sahel being ""kharijites"" is unfounded and has ""no basis in the Qur'an or Sunnah"".

3) He said he did not leave to IS looking for fame or money, because he was already ""well-off"" in the ranks of JNIM, and he only defected because he saw that the Islamic State's ""actions matched with their words"".

4 He accuses JNIM of negotiating peace deals with Benin and Ivory Coast, which he deems as not ""befitting to a Muslim to seek reconciliation with apostates"".""",0.7778568,0.36432916,0.0020120286,
"""The image is old and from when he was still within JNIM's ranks, but it is of Saa'd.""",0.989576,0.011003628,0.0040109977,
"""A list of soldiers in the Israeli army holding citizenship from Muslim-majority and Arab countries, according to the Israeli army:

 UAE: 1
 Egypt: 1
 Morocco: 72
 Algeria: 1
 Tunisia: 15
 Yemen: 14
 Syria: 2
 Iran: 47
 Iraq: 5
 Indonesia: 1
 Turkey: 112
 Turkmenistan: 31
 Bosnia: 4 
 Uzbekistan: 264
 Tajikistan: 8""",0.9975904,0.0045822216,0.0037210244,
"""Heavy United States military build-up in Nigeria for the past week in preparation of a potential US-backed offensive against Islamic State affiliate ISWAP in northeast Nigeria.

Between February 6 and 14, six US Air Force cargo planes landed in West Africa, all of them stopping in Accra, Ghana first. Five of them landed later on in Nigerian Air Force bases, while the sixth aircraft only arrived today and will likely follow the route towards the northeast as well.

- 1x C-17A to Kainji Airbase
- 1x C-130J-30 to Maiduguri Airbase, Borno
- 3x C-17A to Maiduguri Airbase, Borno

All of them left the respective bases on the same day they landed.

Maiduguri Airbase will likely be the primary base of operations for supporting the Nigerian army against ISWAP. This is a critical location as the IS affiliate currently controls most of Borno State rural areas. 

The volume of the delivery and the type of aircraft used by the USAF indicates that very heavy equipment is being sent to Maiduguri Airbase, I suspect at least one or more MQ-9 Reaper drones, attack helicopters and of course a large number of US troops.

On February 10, American and Nigerian officials told WSJ that the US was to send 200 US troops to Nigeria.""",0.99725276,0.005445394,0.0031478012,
"""BREAKING: 

 U.S. Military veterans have occupied the Cannon building in the nations Capitol to protest the war on Iran and Israels genocide on Gaza.",0.9978067,0.0039841845,0.0044503417,
"""Footage of todays Al-Qassam Brigades ambush of an Israeli-backed militia in Khan Younis, southern Gaza.",0.9976078,0.004512345,0.0035478636,
"""Gaza sources:

Moments ago, Israeli bombing targeted a group of Palestinians in the Khan Younis Project area.

3 Palestinians were killed and arrived at Nasser Hospital.",0.9975925,0.0047352924,0.003844874,
"""Dont tell me Islamophobia doesnt exist.",0.99752206,0.004809349,0.003923213,
"""A 14-year-old student who carried out one of the deadliest school shootings in modern Turkish history earlier this week has been identified as a non-binary LGBT individual previously flagged as a problem student.",0.9977168,0.004818566,0.0036048118,
"""In a 24 hour poll of around 1,100 5Pillars readers, 98% of them said they disapprove of UAE leader Mohammed bin Zayed.

This is by far the most overwhelming rejection of a leader of a Muslim nation that we have polled so far.",0.9972722,0.00443482,0.0034835916,
"""My heart is aching my daughter suffers from severe epilepsy, and today her condition worsened in a frightening way, with swelling appearing all over her body. She was rushed to the hospital urgently. There is nothing harder than watching your child in pain while you feel helpless to help 
Please dont forget her in your prayersperhaps a sincere prayer from the heart could be the reason for her healing 
My child urgently needs treatment, an X-ray, and an EEG, costing $700. I implore you to consider her case with compassion and humanity.

@AnglicanJayCAN @academic_la @menalahy @shxmi_ @YaraYousryyy @thadxiv @AbdulrehmanNSRH @joejonas @mehdirhasan @_akhaliq @stephenfaigen @JTroshupa @DzairMediaa @Goalsedge @Ebrima941417 @1453_ecel @Rohanjirale @UHlqahtani18978 @OURPIKIN4DEYSCH @zxchzch @jairbolsonaro @BNetanyahood @L0UYANNA""",0.10642004,0.0013524693,0.9546375,
RT @AbujomaaGaza: Six-month-pregnant woman has been killed by Israeli occupation sniper north of Rafah..,0.9796331,0.017881334,0.0016320858,
"""Two years ago today, Palestinian orthopedic surgeon Dr. Adnan Al-Bursh was kiIIed in lsraeIi prison.",0.9975115,0.0049317474,0.0033733868,
"""Don't stop talking about Sudan.
Don't ignore their sufferings...",0.9975591,0.004644312,0.0036464825,
"""We didn't forget how Israel was caught on camera while literally burning people alive.

DON'T STOP TALKING ABOUT GAZA!!",0.997491,0.004623199,0.003853024,
"""JUST IN:  Iran launches drone attack toward US military ships.""",0.9977604,0.00434524,0.0041583246,
"""

A retired U.S. Army Colonel, speaking to ABC:

Iran uses infrared systems instead of traditional radar.

American fighters like the F-35 and F-15 are not designed to face these systems.

Iranian airspace is no longer safe for U.S. fighter jets.",0.99728763,0.0049431655,0.0036253799,
"""Israels War on Gazas Women and Girls

More than 38,000 women and girls have been killed by Israel in Gaza. 

A UN Women report warns that violations continue, and the ceasefire has failed to stop the ongoing toll on civilians.""",0.9976941,0.0045850277,0.0039823493,
"""Netanyahu live: We targeted civilians in Iran. Families. Fathers, mothers, children. He said it. On TV. In front of the whole world.

Boasting about a war crime. Calling it self-defense. Smiling at the camera. No one bats an eye. No one stops him.

Shame? For them, its a point of pride. That says it all.""",0.9958554,0.00539393,0.0042608622,
"""Someone carried out cyber attack &amp; took control of the main Pakistani news broadcast channel- Geo News. The hackers posted anti military regime messages on the screen.",0.99768555,0.004516985,0.0036345103,
"""""Weak statement. You should have offered condolences on the death of their leader. Yes, they kicked out Afghan refugees and have played destabilizing role from time to time,  but you got to be the bigger man here

Say something meaningful or stay silent.""
""
--------------

Condolences?? How easily you guys forgot that the dead old man had made blood of Muslims in Syria and Iraq halal for his proxy militias?",0.99672145,0.0051417006,0.0029553992,
"""                    
          
#MolanaHamidulhaq 
#MolanaSamiulhaq
@Zabehulah_M33
@__alaskri @WakeelMubariz",0.019567601,0.19082418,0.20524885,המודל לא הצליח לקבל החלטה
"No difference between Iranian Rfzi state and Gulf states, hope they unleash on each other and leave power vacuum for sincere Muslims.

As for Pakistani state, they have done that already and above all it is a non-Islamic state, so nothing wrong with Jhd in Pak.",0.9959175,0.0063759475,0.0030327127,
"""Khamenei dead?
Mullah Omar wasnt killed nor was he caught 
Sh. Obl was the biggest threat to the world order
It took them all of their resources and ten years to locate him and kill him

What is wrong with these Shia groups, states etc? Seems half of their men are Mossad agents""",0.9901218,0.018513221,0.0015656353,
"""@asim448191 Yeah, I don't believe Al-Qaeda or ISIS were false flags by the US and Israel, I don't believe 9/11 was an Inside Job, and I don't believe Israel killed Charlie Kirk. It is healthy to be skeptical of official narratives promoted by neocons, but it has to be grounded in reality.""",0.99743253,0.00390625,0.00417298,
"""""                                                                         ""
""
--------------

If Ulama believe lies so easily then it's over for a commoner in today's era.",0.9975998,0.0039209216,0.004094561,
"""""With all due respect to Pakistan, noone there has this drip.
No wonder Kandahar fears him. 
""
--------------

""No wonder Kandahar fears him.""

That's why he made speeches about obedience huh?

You are a retarded, schizo and Polish, imagine being so much nerfed by default.",0.9970771,0.0041358196,0.0037583602,
"""Kudos to honourable Pakistani Muslims who - out of basic Wal and Bar - oppose the dishonourable Secular Republic of Napakistan.""",0.9927079,0.019416347,0.001482719,
"""Is it so hard to understand that man made law is a crime worse than genocide?

Is it so hard to grasp that Napakistan is ruled by blasphemous man made laws like Endia?

Is it so difficult to grasp that *Islm* obliges the conquering of both secular countries?""",0.99671423,0.0046642926,0.004015452,
He's a Raf*dhi so...,0.9962663,0.00545352,0.0034554522,
"""""Pakistan state declares them a proscribed organization.

If a Pakistani (regardless of religion) is standing up for Pakistan it's not an act or aor.

Asim jhoot to bolna seekho, zainabiyoun ke leader Rahbar hai na ke Asim Munir ""
""
--------------

Tehran Turi (Former Zainabiyon Commander) released a video message declaring support for Pakistani state and vowed to fight alongside Pakistan.",0.033227473,0.97249335,0.009514909,jihad
"""""The only thing that remains from last May is PAF's superiority over the Indian AF. The rest has been completely squandered by Pakistan at this point. Pakistan settled for geopolitical optics over geopolitical victories. That meant some nice photo ops in Washington but very little substance coming out of those visits. 

Now Pakistan is stuck with a Taliban regime that itself helped put in place and that is supported by some of its own closest allies. To justify its impotence, Pakistani analysts are now accusing Israel of backing the Taliban, which is absolutely hilarious, because on the other side the Taliban are also accusing Pakistan of being in cahoots with Israel. This kind of retardation is of course very common in the Muslim world where two opposing sides accuse the other of being crypto Jews. 

For Pakistan, blaming India and Israel is the easy way out to hide its own blunders and incompetence and justify non-action. The fact is there are millions of Taliban sympathisers in Pakistan and the Taliban don't need any foreign support to keep hitting Pakistan. They have enough support inside Pakistan. 

So, anyway, good luck with everything. We've got better things to talk about. ""
""
--------------

""The fact is there are millions of Taliban sympathisers in Pakistan and the Taliban don't need any foreign support to keep hitting Pakistan. They have enough support inside Pakistan.""

Even the Jew is speaking facts.",0.99729687,0.0052902414,0.0031927715,
"""""Stop taking my words out of context.
I support Uhygurs muslims, No difference for me between Palestinians Kashmiris &amp; Uhygurs 
I was just pointing out Chinese way were effective in dealing with separatists, That doesn't mean I support/celebrate China against Uhygur Muslims.""
""
--------------

In short, ""I admire the way CCP dealt with Muslims of Turkestan but I don't support CCP against Muslims of Turkestan.""

Absolute retard.",0.9971397,0.0052129915,0.0028330064,
"""""If you want to fight this war, go beyond your laws and rule of engagement. 
Kill pro BLA civilians in similar way, build concentration camps and fix their minds
Change the ideology from roots by force like China did with separatists. 
Also shut down the universities.""
""
--------------

Keep barking ya zindiq. 

Mujahideen of Turkestan successfully carried out Jihad against Americans in Afghanistan, Iran/Russia/Nusayri alliance in Shaam and will definitely liberate East Turkestan from the clutches of CCP atheist infidels, Bi'ithnillah.",0.7606374,0.33802184,0.0013339554,
"""""@SmartRandomGuy Six screenshots dont represent all Pakistani nationalists""
""
--------------

Indeed, there are worse.",0.99741346,0.0043557244,0.003619855,
Pakistani state mobilizing Zainabiyoun Shia militia of the Turi tribe against IEA on the bordering district of Kurram.,0.96586335,0.0623817,0.0014276997,
"""""An old video of Taliban snipers hunting down mercenaries of American-backed Afghan Republic.

Beautiful sniping ngl.""
""
--------------

Taliban Sniper vs US-backed Afghan Republic Army Camp.

Don't remember which year but most likely from 2019-20 or during the the final offensive in 2021.",0.9975084,0.005195972,0.003186543,
"""""Satisfaction level  

Pakistan Army used snipers to take out Afghan Taliban terrorists in the border region. 
""
--------------

An old video of Taliban snipers hunting down mercenaries of American-backed Afghan Republic.

Beautiful sniping ngl.",0.9974354,0.0046913936,0.0032741898,
"""The closure of a second #Starbucks branch in #Medina shows that campaigns by some clerics and influencers have changed nothing; the silent boycott continues steadily despite attempts at reassurance and intimidation..
#SaudiArabia",0.99745816,0.005214589,0.0028894616,
""" Starbucks, halk boykotu nedeniyle Medine-i Mnevvere'deki ikinci ubesini de kapatyor.",0.99745494,0.0043221717,0.0043113725,
"""Ibn ajar al-Asqaln ( ) said:

It is well known that a sensible  person finds it distressing that a stranger (non-maram) would see the face of his wife or his daughter, and the like.

(Fat al-Br)",0.86631376,0.0049098833,0.014377145,
Ayatoilet Haqiqatjou vs Officer Ruhayli,0.010760861,0.964817,0.069480784,jihad
"""#Syria: the final US convoy left Qasrak base in #Hasakah province this morning.

The plumes of smoke seen in the video are from materials burned prior to their departure.

This base was the largest remaining US military facility in the country.

The 60th Division is now taking control of the base.""",0.9972573,0.0050380756,0.0033496576,
"""It looks like Dr. Ruhayli did as the Islamic affairs said &amp; delivered the Khutbah they wanted. Just listen to this, We love our rulers, we make Dua for them, we have Ghayrah over their honour, to get closer to Allah. They love us &amp; make Dua for us. Allahul Mustaaan.",0.8666922,0.059583966,0.0018053425,
"""Ruhayli says his land (S*udi) is built upon the Deen, it has acted upon &amp; truly established moderation due to the rulers &amp; the scholars. He then goes on to quote his king who apparently spoke golden words regarding moderation &amp; extremism.",0.8884236,0.015787814,0.004664739,
"""Its quite odd that people dont seem to know the views of their own scholars. About one year ago, government officer Sulayman ar-Ruhayli gave his view regarding Muslims going to aid Palestine. I will summarise the main points &amp; link the video so no one can claim distortion.""",0.9966264,0.003661166,0.004767483,
"""Ruhayli says some of the later scholars permitted Mawlid, but says that this differing is not valid. When he spoke about National day, he says the scholars have differed on this issue &amp; even gave a talk which was part of national day celebrations. Salafiyyah of nationalism.",0.0034443652,0.009757767,0.992474,
"Ruhaylis real answer regarding boycotting certain franchises in Muslim countries isnt much different to the fake video

-  They have 0 connection to the actual company 

- Muslims work in these chains so boycotting is Dhulm &amp; not permitted

- They donate in charity to Muslims",0.9934509,0.0018282508,0.016178293,
Emirati police lieutenant general says that the UAE was the lung through which it (Iran) breathed when it was suffocated by sanctions.,0.997827,0.00452386,0.0038883383,
"""Tucker Carlson:

Trump is mocking Jesus. He's making fun of Christianity.

The central figure of the religion is being held up for mockery.",0.99783236,0.004251219,0.004063407,
"I dont know why accounts make fake AI videos of Sulaymaan ar-Ruhayli to try &amp; tarnish his name. His actual Fatwas, statements &amp; stances are evidence enough of his misguidance.",0.030672371,0.6310697,0.024109483,jihad
"""Syria says it has taken control of all former U.S. military bases on its territory.""",0.99773467,0.0048184153,0.0039460775,
"""BREAKING: The U.S. appears to have ended its military presence in Syria with the last convoy leaving the Qasrak base in the northeast. 

Control of the area is now shifting to Syrian forces.

This effectively ends the U.S. ground presence that began in 2014.",0.99749774,0.0045885895,0.0034691275,
"""G*za has exposed the hypocrites 

- Shaykh Nabeel al-Awadi (May Allah protect him &amp; ease his affairs)",0.0029423719,0.009138473,0.99528116,
"""Shaykh Nabeel al-Awadi (May Allah preserve him) speaks about the modern day Murji'ah &amp; gives some real life examples of their misguidance.",0.0020995433,0.09021258,0.91452473,
"""Why are the goofy Sufis acting like their Awliyaa &amp; Oceans of knowledge (heretics) havent legitimised the criminal emirates?",0.99594927,0.00516191,0.0027630855,
"""""Footage of Iran's Foreign Minister Seyyed Abbas Araghchi welcoming Pakistan's Chief of Army Staff Field Marshal Syed Asim Munir upon his arrival in Tehran.

Follow Press TV on Telegram:  
""
--------------

Can any of the Pakistani (nationalist) Madkhalis tell us why their army chief is saluting &amp; hugging one of the Raafidhi leaders?",0.031727355,0.9750769,0.011650573,jihad
"""",0.9950859,0.0076876148,0.0043346724,
"""Your turn is coming, God willing.  
Just as you mocked the souls of the Syrians and made examples of the bodies of the martyrs, .. we will NEVER forget .. by Allah Almighty justice will be served.""",0.99720085,0.006066078,0.0029272663,
"""Sheikh Al Islam Ibn Taymiyyah RH  us of the Druze and Alawites (Nusayriyyah) in Syria as disbelievers and apostates and in General that they are worse to the Muslims than the YahoEud to the Muslims..""",0.9751032,0.012092232,0.0021435705,
"""Hamza al-Khateebs mother felt both relief and sadness at Atef Najeebs trial, as it reminded her of Hamzas torture and death. She also lost her older son, Omar, who died under torture after five years in Sedneyah.O Allah reward her the highest  level of jannah for her sabr.",0.0052611693,0.0870846,0.74380344,
"""Many of these demons also hold US passports""",0.9970079,0.0044049514,0.0041630147,
"""Palestinian boy Adel al Najjar, 9, has been killed by Israeli occupation fire in Khan Younis..""",0.99636674,0.0071444362,0.002282828,
"""Abu Hurairah (may Allah be pleased with him) reported that the Messenger of Allah () said:

 ""Kill the two black ones during prayer: the snake and the scorpion.""""",0.9948767,0.002580451,0.005483434,
"""Shaykh ul-Islm ibn Taymiyyah [may Allh have mercy on him] said:

""A servant of Allah must have times when he is alone with himself, in supplication, remembrance of Allah, prayer, contemplation, self-examination,""",0.009788002,0.0024066702,0.99430156,
"""Breaking | Israeli occupation forces abduct five Palestinian civilians while storming the town of Shuqba, west of Ramallah in the occupied West Bank.",0.997139,0.0046356088,0.0033886316,
"""Zionists do this in plain sight.

With absolute impunity.",0.9977609,0.0046605375,0.0037848856,
"""I still cannot process what I heard today it felt like stepping into something unreal. What is happening here must be told exactly as it is, because staying silent is no longer an option.

I went with my friend to a nearby camp to document the spread of rats, but what we found was far beyond a simple report. People there do not sleep at night. They stay awake for hours, watching over their children, afraid that the rats might reach them. Fear has become part of their daily lives, and exhaustion is written on every face.

Rats enter the tents through small openings, attacking the little food people have, tearing their clothes, and sometimes reaching their bodies while they sleep. I saw injuries and signs of infection, and I heard stories that are impossible to bear. One of them was about a bride preparing for her wedding, only for a rat to destroy her clothes small details that reveal the scale of this tragedy.

There are no means to fight this, no poison, no solutions. The situation is getting worse day by day, and we are heading toward a real catastrophe. We need urgent intervention, we need caravans and safe shelter to protect people because what is happening here is no longer bearable.""",0.9973031,0.0050530583,0.0039127897,
"""Ibn al-Qayyim  : 

The most miserable loser is a man who KNOWS the path to Allh yet he turns away from it.

[ ]""",0.99573565,0.007078064,0.0028983844,
"""""Indeed, prayer has been decreed upon the believers a decree of specified times.""

Quran 4:103""",0.997505,0.00446049,0.0037648366,
"""Gazan displaced mother Raghda Al-Sheikh issued an urgent appeal to be reunited with her three children, who were placed in French state care after being evacuated to France in December 2023 with their father and grandfather.

While she remained trapped in Gaza, French authorities removed the children from their father on July 15, 2024, over alleged abuse, claims the family strongly denies. 

The mother says French authorities are now subjecting her three children to systematic brainwash that primarily targets their Palestinian cause.""",0.9971993,0.005976901,0.0032372554,
"""The Sign of an Accepted Hajj

Al-Hasan al-Basri [may Allh have mercy on him] said:

An accepted Hajj [Hajj Mabrr] is to return abstinent from this Worldly-life, desiring the Afterlife. 

Treekh al-Kabeeer 3/238 | Imm al-Bukhri [may Allh have mercy on him]""",0.009050345,0.0033706978,0.9639717,
"""",0.9950859,0.0076876148,0.0043346724,
"""They would dress like Muslims, move to a town where no one knows them, and harass Jewish girls in order to frighten their parents so they leave for Israel

Diabolical. Some people are just born evil.",0.9975399,0.0045336774,0.0039145504,
"""Breaking | A 49-year-old Palestinian woman, Mona Al-Tayebeen, was injured after being shot by Israeli occupation forces in the Egyptian camp area in the 17th neighborhood in northern Gaza Strip.",0.996554,0.0045896987,0.0033543874,
"""What an absolute shame""",0.99555063,0.00388914,0.008244293,
"""""What Is the Muslims Position Toward These Wars? || Sheikh Aziz Bin Farhan || Ramadan Drops || Day 11 
""
--------------

This is some awful advice sorry, this advice of what Muslims have been doing for decades and it has made the situation of the ummah worse",0.17861883,0.6429453,0.0032977108,jihad
"""""-       
Taliban-aligned senior religious scholar Sheikh Abdul Hamid Hamasi, in a new video, described the Talibans current fighting against Pakistan as jihad and called on Pakistani Ulema to pressure their army to halt attacks on Afghanistan before the Talibans Supreme Leader orders an offensive jihad against the country. He warned that the world knows Afghans take revenge, even if it comes with delay.""
""
--------------

Ya rab",0.97946566,0.04344986,0.0011468328,
May Allah return Pakistan to the believers and remove the filth as they were removed in Afghan.,0.99734855,0.0051363963,0.0030676064,
"""If we never meet again in this world.",0.9974376,0.004381328,0.0043368274,
"""""Mujahideen hiding in mosques ""
""
--------------

Your Shia leaders dont even know how to pray",0.9975223,0.0048332135,0.003188181,
"The end of the oppressors is near and Allahs victory is even closer, May Allah allow us to witness the victory of this ummah and destruction of the tyrants Ameen.",0.9949586,0.004472588,0.0034646955,
Yes may Allah reward them for clarifying the disbelief of the rulers who abandon the sharia.,0.99511033,0.0038651677,0.003968199,
"May Allah allow us to accept this deen in its complete form, the ghuraba.",0.954375,0.00079186575,0.08767624,
"""""When we attack its so sad to see the Ummah fighting 

When they attack, no one cares. 

Defend your home. No matter who is invading it. TTP isnt a Rightful Caliphate that you submit to their attacks, bomb them wherever they are.""
""
--------------

They call themselves salafi but in reality they are upon the way of the munafiqeen, May Allah protect us from such a filthy ideology.",0.02413215,0.92836285,0.012089355,jihad
"""""The Prophet () said: 
""
--------------

Ya rab",0.99651164,0.004383835,0.0038520265,
Jealous of the men and women of this ummah striving in the cause of Allah in this month with their wealth and their lives.,0.99541926,0.002582315,0.0060262745,
"""""Muslim women are the pure defintion of pick-me girls. Oh look! I'm so modest! I'm not like the other girls who show their bodies because I'm saving myself for the one man I wanna devote my life to!! Look at me I'm so better than yall!""
""
--------------

These filthy kuffar hate the hijab and Muslim women because usually they are surrounded by filth like themselves, but when they come across Muslim women it reminds them of how filthy they are.",0.96141475,0.020258784,0.002643153,
"""""An Afghan migrant who kicked a door in of a women house in london died in prison.. 

Gulwali Stanekzay, 23 died in hmp Wandsworth on the 17 of January 
""
--------------

This Shaytan assaulted a sister in hijab",0.047041576,0.9197052,0.010726587,jihad
"The ruler permitting it is disbelief in and of itself his position and status isnt like the father.
This whole comparison is a fallacy, a better comparison is like an imam in a masjid who tells the congregation that homosexuality is permissible in Islam, however the ruler still",0.9975447,0.0035840299,0.0062791817,
holds a higher authority and consequence than the imam.,0.9933369,0.008136864,0.0043710624,
"Imam Ibn Taymiyyah said: 

Whoever examines the conditions of the world finds it clear that Allah has not bestowed upon the people of the earth any blessing greater than His bestowal in sending Prophet Muhammad .

[al-Jawab al-Sahih]",0.007931278,0.0030859285,0.9957659,
"May Allah make us among the laughing winners.

The companion Abu al-Darda' said: 

Indeed, those whose tongues remain moist with the remembrance of Allah, the Mighty and Majestic, will enter Paradise laughing.

[al-Zuhd of Abd Allah bin al-Mubarak]",0.011892538,0.0024345312,0.9920399,
"Be consistent in reciting the Qur'an every day and night.

Imam Sufyan bin Uyaynah said: 

Uthman bin Affan said: I do not like a day or a night to pass without me looking at the Speech of Allah. 

[al-Sunnah of Abd Allah bin Ahmad]",0.010562971,0.0022186434,0.99493057,
"Imam Ahmad bin Hanbal was asked: 

Will a man feel softness in his heart when he is full from eating?

Imam Ahmad bin Hanbal said: 

I do not consider it so.

[Dhamm Qaswah al-Qalb of Ibn Rajab]",0.54987156,0.0008231487,0.63033754,
"Allah has bestowed upon us the tremendous favor of continuing to discover manuscripts of the works of Ibn Taymiyyah and of his students and followers.

Multiple volumes of his Tafsir works are planned for publication, including one volume being published for the first time.",0.9963845,0.0033359714,0.006854112,
"Imam Ibn Rajab al-Hanbali said:

Whoevers heart actualizes the word of Tawhid will expel from it everything other than Allah that is loved, revered, held in awe, feared, hoped for, and relied on, and then all his sins will burn up even if they were like the foam of the sea.",0.05175249,0.0013228285,0.958165,
"Imam Ibn Rajab al-Hanbali said: 

There is no rectification of the hearts until knowledge about Allah, His might, His love, fear of Him, awe of Him, hope in Him, and reliance on Him are established within them and fill them completely, and this is the reality of Tawhid.",0.0948283,0.0014878793,0.8278968,
"Imam Malik said:

The towns were conquered by the sword, but Madinah was conquered by the Qur'an.

Imam Ibn Rajab commented:

The people of Madinah were not fought with the sword, rather they embraced Islam and obeyed merely by hearing the Qur'an and its recitation to them.",0.9959143,0.0033347493,0.0056673577,
"Imam Ibn Rajab al-Hanbali said: 

Among the means by which the love [of Allah] is attained is reciting the Qur'an with reflection and contemplation, especially the verses that contain the Names and Attributes [of Allah].",0.9931202,0.0014897338,0.018613756,
"Imam Ibn Rajab was asked:

If a Dhimmi dies in Dar al-Islam and leaves behind young children, are they adjudged to be Muslims by the Hanbali judge?

Ibn Rajab al-Hanbali said:

Yes, the child is adjudged to be Muslim by the Hanbali judge if one of the Dhimmi parents has died.",0.9933026,0.0020024022,0.016308567,
"The Prophet  said:

I was sent ahead of the Hour with the sword, so that Allah will be worshipped alone with no partners...

Ibn Rajab al-Hanbali commented:

Whoever does not respond to Tawhid through Qur'an, evidences, and clear explanations is called to it with the sword.",0.15818062,0.0011178438,0.8466025,
"Rare footage of the noble scholar Shaykh Sulayman al-Alwan responding to questions about hadith, fiqh, history, and other topics",0.10242237,0.0012199252,0.9690113,
"Imam Ibn Rajab al-Hanbali said: 

My brothers! Strive today in actualizing Tawhid, for nothing leads to Allah except it. And be keen on fulfilling its rights, for nothing saves from Allahs punishment except it. 

[Kalimah al-Ikhlas of Ibn Rajab]",0.005454844,0.0047975224,0.98227733,
"Imam Ahmad bin Hanbal was asked: 

Can a person be an ascetic while having one hundred gold coins?

Imam Ahmad bin Hanbal said: 

Yes, on the condition that if it increases he does not rejoice, and if it decreases he does not grieve.

[al-Tawakkul of al-Qadi Abi Yala]",0.0053588715,0.0041615795,0.99451196,
